,Action Observation,Acupuncture,Age,Anti-Saccades,Braille Reading,Breath-Holding,CIAS,Chewing/Swallowing,Classical Conditioning,Counting/Calculation,Cued Explicit Recognition,Deception Task,Deductive Reasoning,Delay Discounting Task,Delayed Match To Sample,Divided Auditory Attention,Drawing,Eating/Drinking,Encoding,Episodic Recall,Face Monitor/Discrimination,Film Viewing,Finger Tapping,Fixation,Flanker Task,Flashing Checkerboard,Flexion/Extension,Free Word List Recall,Go/No-Go,Grasping,Imagined Movement,Imagined Objects/Scenes,Isometric Force,Mental Rotation,Micturition Task,Music Comprehension/Production,Naming (Covert),Naming (Overt),Non-Painful Electrical Stimulation,Non-Painful Thermal Stimulation,Oddball Discrimination,Olfactory Monitor/Discrimination,Orthographic Discrimination,Pain Monitor/Discrimination,PainLevel,Paired Associate Recall,Passive Listening,Passive Viewing,Phonological Discrimination,Pitch Monitor/Discrimination,Pointing,Posner Task,Reading (Covert),Reading (Overt),Recitation/Repetition (Covert),Recitation/Repetition (Overt),Rest,Reward Task,Saccades,Semantic Monitor/Discrimination,Sequence Recall/Learning,Sex,Simon Task,Sleep,Spatial/Location Discrimination,Sternberg Task,Stroop Task,SubjectID,Subjective Emotional Picture Discrimination,Syntactic Discrimination,Tactile Monitor/Discrimination,Task Switching,Theory of Mind Task,Tone Monitor/Discrimination,Tower of London,Transcranial Magnetic Stimulation,Vibrotactile Monitor/Discrimination,Video Games,Visual Distractor/Visual Attention,Visual Pursuit/Tracking,Whistling,Wisconsin Card Sorting Test,Word Generation (Covert),Word Generation (Overt),Word Stem Completion (Covert),Word Stem Completion (Overt),Writing,add_date,analysis_level,brain_coverage,brainpedia_labels,brainpedia_study,cognitive_contrast_cogatlas,cognitive_contrast_cogatlas_id,cognitive_paradigm_cogatlas,cognitive_paradigm_cogatlas_id,cognitive_paradigm_description_url,collection,collection_id,contrast_definition,contrast_definition_cogatlas,custom_prop,data,description,figure,file,file_size,id,image_type,is_thresholded,is_valid,label_description_file,map_type,modality,modify_date,n-back,name,nidm_results,nidm_results_ttl,not_mni,number_of_subjects,perc_bad_voxels,perc_voxels_outside,random_property_1,random_property_2,reduced_representation,smoothness_fwhm,statistic_parameters,task,thumbnail,type,url
546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:23:19.693195Z,group,67.273399379,,,incongruent minus congruent,cnt_55413a264f834,contextual semantic priming task,trm_553e73e29cf7d,,http://neurovault.org/collections/160/,160,,,,,An experimental contrast targeting prediction violations in language processing. Incongruent last word of a 5-word sentence contrasted over the congruent last word of a 5-word sentence. Areas showing increased activation in controls relative to patients.,,http://neurovault.org/media/images/160/spmT_0001_4.nii.gz,181950,758,statistic_map,False,True,,T map,fMRI-BOLD,2016-06-12T22:17:13.212373Z,,Incongruent>Congruent controls>patients,,,False,20.0,74.3870715641,0.841270187215,,,http://neurovault.org/media/images/160/transform_4mm_758.npy,,,,http://neurovault.org/media/images/160/glass_brain_758.jpg,,http://neurovault.org/images/758/
547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:23:19.438540Z,group,67.273399379,,,incongruent minus congruent,cnt_55413a264f834,contextual semantic priming task,trm_553e73e29cf7d,,http://neurovault.org/collections/160/,160,,,,,An experimental contrast targeting prediction violations in language processing. Incongruent last word of a 5-word sentence contrasted over the congruent last word of a 5-word sentence. Activation map across 10 healthy young controls.,,http://neurovault.org/media/images/160/spmT_0002_3.nii.gz,182414,756,statistic_map,False,True,,T map,fMRI-BOLD,2016-06-12T22:17:13.174005Z,,Incongruent>Congruent controls,,,False,20.0,74.3870715641,0.841270187215,,,http://neurovault.org/media/images/160/transform_4mm_756.npy,,,,http://neurovault.org/media/images/160/glass_brain_756.jpg,,http://neurovault.org/images/756/
548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:23:04.398245Z,group,67.273399379,,,congruent minus scrambled,cnt_55413a13ad2fb,contextual semantic priming task,trm_553e73e29cf7d,,http://neurovault.org/collections/160/,160,,,,,An experimental contrast targeting predictability in language processing. Last word of a coherent 5-word sentence contrasted over the last word in a random sequence of words. Activation map across 10 patients with focal cerebellar lesions.,,http://neurovault.org/media/images/160/spmT_0003.nii.gz,181672,754,statistic_map,False,True,,T map,fMRI-BOLD,2016-06-12T22:17:13.135130Z,,Congruent>Scrambled patients,,,False,20.0,74.3870715641,0.841270187215,,,http://neurovault.org/media/images/160/transform_4mm_754.npy,,,,http://neurovault.org/media/images/160/glass_brain_754.jpg,,http://neurovault.org/images/754/
549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:23:19.479260Z,group,67.273399379,,,scrambled minus letter string,cnt_55413a0769113,contextual semantic priming task,trm_553e73e29cf7d,,http://neurovault.org/collections/160/,160,,,,,An experimental contrast targeting basic language processing. The last word in a random sequence of words contrasted over the last of a sequence of five letter strings (consonants). Areas showing increased activation in controls relative to patients.,,http://neurovault.org/media/images/160/spmT_0001_2.nii.gz,182134,744,statistic_map,False,True,,T map,fMRI-BOLD,2016-06-12T22:17:13.094608Z,,Scrambled>Letterstrings controls>patients,,,False,20.0,74.3870715641,0.841270187215,,,http://neurovault.org/media/images/160/transform_4mm_744.npy,,,,http://neurovault.org/media/images/160/glass_brain_744.jpg,,http://neurovault.org/images/744/
550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:23:20.272894Z,group,67.273399379,,,congruent minus scrambled,cnt_55413a13ad2fb,contextual semantic priming task,trm_553e73e29cf7d,,http://neurovault.org/collections/160/,160,,,,,An experimental contrast targeting predictability in language processing. Last word of a coherent 5-word sentence contrasted over the last word in a random sequence of words. Areas showing increased activation in controls relative to patients.,,http://neurovault.org/media/images/160/spmT_0001_3.nii.gz,181198,755,statistic_map,False,True,,T map,fMRI-BOLD,2016-06-12T22:17:13.010416Z,,Congruent>Scrambled controls>patients,,,False,20.0,74.3870715641,0.841270187215,,,http://neurovault.org/media/images/160/transform_4mm_755.npy,,,,http://neurovault.org/media/images/160/glass_brain_755.jpg,,http://neurovault.org/images/755/
551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:23:20.406908Z,group,67.273399379,,,incongruent minus congruent,cnt_55413a264f834,contextual semantic priming task,trm_553e73e29cf7d,,http://neurovault.org/collections/160/,160,,,,,An experimental contrast targeting prediction violations in language processing. Incongruent last word of a 5-word sentence contrasted over the congruent last word of a 5-word sentence. Activation map across 10 patients with focal cerebellar lesions.,,http://neurovault.org/media/images/160/spmT_0003_1.nii.gz,182119,757,statistic_map,False,True,,T map,fMRI-BOLD,2016-06-12T22:17:13.048351Z,,Incongruent>Congruent patients,,,False,20.0,74.3870715641,0.841270187215,,,http://neurovault.org/media/images/160/transform_4mm_757.npy,,,,http://neurovault.org/media/images/160/glass_brain_757.jpg,,http://neurovault.org/images/757/
663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:23:16.672331Z,group,80.4914661423,,,[why hand minus how nonsocial] minus [why nonsocial minus how hand],cnt_554109c5544c8,why/how task,trm_53c4465b0466f,,http://neurovault.org/collections/297/,297,[why hand minus how hand] minus [why nonsocial minus how nonsocial],,,,[Why_Hand > How_Hand] > [Why_Nonsocial > How_Nonsocial],,http://neurovault.org/media/images/297/Tmap_Why_HandHow_Nonsocial_-_Why_NonsocialHow_Hand.nii.gz,218625,1587,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-21T17:23:16.672350Z,,[Why_Hand > How_Hand] > [Why_Nonsocial > How_Nonsocial],,,False,19.0,63.9426019246,3.17973348741,,,http://neurovault.org/media/images/297/transform_4mm_1587.npy,,18.0,,http://neurovault.org/media/images/297/glass_brain_1587_1.jpg,,http://neurovault.org/images/1587/
664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:22:52.343818Z,group,80.4914661423,,,[why face minus how nonsocial] minus [why nonsocial minus how face],cnt_554109af50e85,why/how task,trm_53c4465b0466f,,http://neurovault.org/collections/297/,297,[why face minus how face] minus [why nonsocial minus how nonsocial],,,,[Why_Face > How_Face] > [Why_Nonsocial > How_Nonsocial],,http://neurovault.org/media/images/297/Tmap_Why_FaceHow_Nonsocial_-_Why_NonsocialHow_Face.nii.gz,218721,1586,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-21T17:22:52.343836Z,,[Why_Face > How_Face] > [Why_Nonsocial > How_Nonsocial],,,False,19.0,63.9426019246,3.17973348741,,,http://neurovault.org/media/images/297/transform_4mm_1586.npy,,18.0,,http://neurovault.org/media/images/297/glass_brain_1586.jpg,,http://neurovault.org/images/1586/
665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:23:03.737651Z,group,80.4914661423,,,why nonsocial minus how nonsocial,cnt_55410992b9c4b,why/how task,trm_53c4465b0466f,,http://neurovault.org/collections/297/,297,why nonsocial minus how nonsocial,,,,Why_Nonsocial > How_Nonsocial,,http://neurovault.org/media/images/297/Tmap_Why_Nonsocial_-_How_Nonsocial.nii.gz,218046,1585,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-21T17:23:03.737669Z,,Why_Nonsocial > How_Nonsocial,,,False,19.0,63.9426019246,3.17973348741,,,http://neurovault.org/media/images/297/transform_4mm_1585.npy,,18.0,,http://neurovault.org/media/images/297/glass_brain_1585.jpg,,http://neurovault.org/images/1585/
666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:23:03.747930Z,group,80.4914661423,,,why hand minus how hand,cnt_5541098145b5a,why/how task,trm_53c4465b0466f,,http://neurovault.org/collections/297/,297,why hand minus how hand,,,,Why_Hand > How_Hand,,http://neurovault.org/media/images/297/Tmap_Why_Hand_-_How_Hand.nii.gz,218089,1584,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-21T17:23:03.747949Z,,Why_Hand > How_Hand,,,False,19.0,63.9426019246,3.17973348741,,,http://neurovault.org/media/images/297/transform_4mm_1584.npy,,18.0,,http://neurovault.org/media/images/297/glass_brain_1584.jpg,,http://neurovault.org/images/1584/
667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:23:18.363565Z,group,80.4914661423,,,why face minus how face,cnt_55410975ce70b,why/how task,trm_53c4465b0466f,,http://neurovault.org/collections/297/,297,why face minus how face,,,,Why_Face > How_Face,,http://neurovault.org/media/images/297/Tmap_Why_Face_-_How_Face.nii.gz,217937,1583,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-21T17:23:18.363584Z,,Why_Face > How_Face,,,False,19.0,63.9426019246,3.17973348741,,,http://neurovault.org/media/images/297/transform_4mm_1583.npy,,18.0,,http://neurovault.org/media/images/297/glass_brain_1583.jpg,,http://neurovault.org/images/1583/
670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:22:28.078343Z,,97.7201804948,,,reappraise negative rating,cnt_553a6e9a84bd2,emotional regulation task,trm_4da890594742a,,http://neurovault.org/collections/307/,307,,,,,mediation results (Figure 4): activity during cue/anticipation that shows an amygdala-mediated relationship with reappraisal success (a*b mediation path),,http://neurovault.org/media/images/307/Denny_etal_2014_reappraisal_anticipation_2.nii.gz,1344489,1750,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-27T21:44:18.230515Z,,mediation results,,,False,36.0,61.9033955257,35.0704188489,,,http://neurovault.org/media/images/307/transform_4mm_1750.npy,,25.0,,http://neurovault.org/media/images/307/glass_brain_1750.jpg,,http://neurovault.org/images/1750/
736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-14T21:24:54.233847Z,group,82.0875076045,,,rest eyes open,cnt_54e6a3ceb7216,rest eyes open,trm_4c8a834779883,,http://neurovault.org/collections/1373/,1373,,,,,Pattern of FC predictive of better memory for best friend related items.,Figure 6D,http://neurovault.org/media/images/1373/zstat3.nii.gz,761412,19098,statistic_map,False,True,,Z map,fMRI-BOLD,2016-05-17T14:02:26.216316Z,,vmPFC_BFup,,,False,38.0,77.9070913964,5.94783794762,,,http://neurovault.org/media/images/1373/transform_4mm_19098.npy,6.0,,,http://neurovault.org/media/images/1373/glass_brain_19098.jpg,,http://neurovault.org/images/19098/
745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-07-14T10:46:42.328304Z,group,80.8184986762,,,Pain versus No Pain,cnt_4e61222e46c9c,phasic pain stimulation,trm_4e6114e7b1ff2,,http://neurovault.org/collections/1526/,1526,,,,,Contrast between receiving a painful and non painful thermal stimulation on the back of the right hand in normal state,,http://neurovault.org/media/images/1526/con_0002_1.nii.gz,694957,23911,statistic_map,False,True,,T map,fMRI-BOLD,2016-07-14T11:00:26.789417Z,,Noxious > Non-Noxious Normal State,,,False,11.0,64.1921072226,0.774862921496,,,http://neurovault.org/media/images/1526/transform_4mm_23911.npy,,,,http://neurovault.org/media/images/1526/glass_brain_23911.jpg,,http://neurovault.org/images/23911/
776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-14T21:28:22.381895Z,group,82.0875076045,,,rest eyes open,cnt_54e6a3ceb7216,rest eyes open,trm_4c8a834779883,,http://neurovault.org/collections/1373/,1373,,,,,Pattern of FC predictive of worse memory for Best friend related items.,Figure 6E,http://neurovault.org/media/images/1373/zstat6.nii.gz,761481,19099,statistic_map,False,True,,Z map,fMRI-BOLD,2016-05-17T14:02:26.255166Z,,vmPFC_BFdown,,,False,38.0,77.9070913964,5.94783794762,,,http://neurovault.org/media/images/1373/transform_4mm_19099.npy,6.0,,,http://neurovault.org/media/images/1373/glass_brain_19099.jpg,,http://neurovault.org/images/19099/
805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-07-14T10:50:21.099200Z,group,80.8184986762,,,Pain versus No Pain,cnt_4e61222e46c9c,phasic pain stimulation,trm_4e6114e7b1ff2,,http://neurovault.org/collections/1526/,1526,,,,,Contrast between receiving a noxious versus non-noxious thermal stimulation on the back of the right hand while under hypnotic analgesia (of the right hand),,http://neurovault.org/media/images/1526/con_0003_1.nii.gz,699138,23912,statistic_map,False,True,,T map,fMRI-BOLD,2016-07-14T11:01:09.966207Z,,Noxious > Non-Noxious Hypnotic Analgesia State,,,False,11.0,64.1921072226,0.774862921496,,,http://neurovault.org/media/images/1526/transform_4mm_23912.npy,,,,http://neurovault.org/media/images/1526/glass_brain_23912.jpg,,http://neurovault.org/images/23912/
807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-14T21:32:38.952637Z,group,82.0875076045,,,rest eyes open,cnt_54e6a3ceb7216,rest eyes open,trm_4c8a834779883,,http://neurovault.org/collections/1373/,1373,,,,,Pattern of FC in dmPFC predictive of better memory for self related items.,Figure 6C,http://neurovault.org/media/images/1373/zstat2_1.nii.gz,760772,19100,statistic_map,False,True,,Z map,fMRI-BOLD,2016-05-17T14:02:26.294000Z,,dmPFC_selfUp,,,False,38.0,77.9070913964,5.94783794762,,,http://neurovault.org/media/images/1373/transform_4mm_19100.npy,6.0,,,http://neurovault.org/media/images/1373/glass_brain_19100.jpg,,http://neurovault.org/images/19100/
846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-14T21:34:45.059181Z,group,82.0875076045,,,rest eyes open,cnt_54e6a3ceb7216,rest eyes open,trm_4c8a834779883,,http://neurovault.org/collections/1373/,1373,,,,,Pattern of FC in hippocampal formation predictive of better memory for self related items.,Figure 6B,http://neurovault.org/media/images/1373/zstat2_2.nii.gz,761615,19101,statistic_map,False,True,,Z map,fMRI-BOLD,2016-05-17T14:02:26.333000Z,,HF+_selfup,,,False,38.0,77.9070913964,5.94783794762,,,http://neurovault.org/media/images/1373/transform_4mm_19101.npy,6.0,,,http://neurovault.org/media/images/1373/glass_brain_19101.jpg,,http://neurovault.org/images/19101/
971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-07-16T09:16:01.494727Z,,98.7080001576,,,proportion of correct responses,cnt_5021ae2c2ab3c,logical reasoning task,trm_4f24154867d84,,http://neurovault.org/collections/1529/,1529,,,,,,,http://neurovault.org/media/images/1529/FP.nii.gz,1003423,23915,statistic_map,False,True,,Z map,fMRI-BOLD,2016-07-16T09:16:04.270036Z,,FP,,,False,,70.3565916894,15.7114026236,,,http://neurovault.org/media/images/1529/transform_4mm_23915.npy,,,,http://neurovault.org/media/images/1529/glass_brain_23915.jpg,,http://neurovault.org/images/23915/
985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-07-16T09:17:04.669852Z,,98.7080001576,,,proportion of correct responses,cnt_5021ae2c2ab3c,logical reasoning task,trm_4f24154867d84,,http://neurovault.org/collections/1529/,1529,,,,,,,http://neurovault.org/media/images/1529/FP_1.nii.gz,1003423,23916,statistic_map,False,True,,Z map,fMRI-BOLD,2016-07-16T09:17:07.676871Z,,FP,,,False,,70.3565916894,15.7114026236,,,http://neurovault.org/media/images/1529/transform_4mm_23916.npy,,,,http://neurovault.org/media/images/1529/glass_brain_23916.jpg,,http://neurovault.org/images/23916/
1106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-04-10T17:11:13.251069Z,,85.3328256369,,,Faces,cnt_5531474e117df,emotion processing fMRI task paradigm,trm_550b5b066d37b,,http://neurovault.org/collections/940/,940,,,,,,,http://neurovault.org/media/images/940/zstat1_3.nii.gz,757744,18617,statistic_map,False,True,,Z map,fMRI-BOLD,2016-04-10T17:11:16.461055Z,,negat_pupil,,,False,,77.5796035802,3.65760254579,,,http://neurovault.org/media/images/940/transform_4mm_18617.npy,,,,http://neurovault.org/media/images/940/glass_brain_18617.jpg,,http://neurovault.org/images/18617/
1107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-04-05T19:53:41.931171Z,,97.9304277029,,,Segmented blocks,cnt_4b82d27f31194,block design test,trm_4b7497a289534,,http://neurovault.org/collections/1281/,1281,,,,,Facial recognition,,http://neurovault.org/media/images/1281/spmT_0002.nii.gz,1042042,18579,statistic_map,False,True,,T map,fMRI-BOLD,2016-04-05T19:54:00.580221Z,,Face processing,,,False,,54.179239157,17.6479465821,,,http://neurovault.org/media/images/1281/transform_4mm_18579.npy,,,,http://neurovault.org/media/images/1281/glass_brain_18579.jpg,,http://neurovault.org/images/18579/
1157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-04-05T20:55:38.939764Z,,97.8042288925,,,Segmented blocks,cnt_4b82d27f31194,block design test,trm_4b7497a289534,,http://neurovault.org/collections/1281/,1281,,,,,,,http://neurovault.org/media/images/1281/spmT_0002_1.nii.gz,307970,18580,statistic_map,False,True,,T map,fMRI-BOLD,2016-04-05T20:55:41.310295Z,,Feeling,,,False,,53.994171447,17.1935051766,,,http://neurovault.org/media/images/1281/transform_4mm_18580.npy,,,,http://neurovault.org/media/images/1281/glass_brain_18580.jpg,,http://neurovault.org/images/18580/
1158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-04-10T17:58:07.733489Z,,85.3328256369,,,Faces,cnt_5531474e117df,emotion processing fMRI task paradigm,trm_550b5b066d37b,,http://neurovault.org/collections/940/,940,,,,,,,http://neurovault.org/media/images/940/zstat1_4.nii.gz,763905,18618,statistic_map,False,True,,Z map,fMRI-BOLD,2016-04-10T17:58:10.694246Z,,pupil_neu,,,False,,77.5796035802,3.65760254579,,,http://neurovault.org/media/images/940/transform_4mm_18618.npy,,,,http://neurovault.org/media/images/940/glass_brain_18618.jpg,,http://neurovault.org/images/18618/
1181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:21:53.438222Z,group,99.9886205976,,,Cue,cnt_55315226076d3,motor fMRI task paradigm,trm_550b53d7dd674,,http://neurovault.org/collections/457/,457,Cue,,,,FSL5.0,,http://neurovault.org/media/images/457/tfMRI_MOTOR_CUE_zstat1.nii.gz,1168682,3154,statistic_map,False,True,,Z map,fMRI-BOLD,2016-01-21T17:21:53.438253Z,,tfMRI MOTOR CUE zstat1,,,False,486.0,65.7102752072,26.18728373,,,http://neurovault.org/media/images/457/transform_4mm_3154.npy,0.0,490.0,,http://neurovault.org/media/images/457/glass_brain_3154.jpg,,http://neurovault.org/images/3154/
1276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-17T14:42:42.220715Z,group,95.5169531212,,,average score minus participant&#39;s score,cnt_4dffaa78530b6,theory of mind task,trm_4c8a8467304e2,,http://neurovault.org/collections/1378/,1378,Factor of Representation (belief/photo),,,,WBA,Table 3,http://neurovault.org/media/images/1378/zfstat1.nii.gz,914250,19115,statistic_map,False,True,,Z map,fMRI-BOLD,2016-05-17T15:00:16.213346Z,,factor of Representation,,,False,21.0,73.4296150467,9.00296874479,,,http://neurovault.org/media/images/1378/transform_4mm_19115.npy,,,,http://neurovault.org/media/images/1378/glass_brain_19115.jpg,,http://neurovault.org/images/19115/
1492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:21:57.533033Z,group,99.9164051592,,,visual standard stimulus presentation,cnt_553a7710d845a,oddball task,tsk_4a57abb949bf6,,http://neurovault.org/collections/417/,417,visual standard,,,,FSL5.0,,http://neurovault.org/media/images/417/model001_task002_cope006_tstat1.nii.gz,870735,2718,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-21T17:21:57.533052Z,,model001 task002 cope006 tstat1,,,False,17.0,74.7081026645,0.0,,,http://neurovault.org/media/images/417/transform_4mm_2718.npy,,,,http://neurovault.org/media/images/417/glass_brain_2718.jpg,,http://neurovault.org/images/2718/
1613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-07T15:22:23.412259Z,group,91.5731148488,,,accuracy of recognition minus accuracy of source identification,cnt_4dfa94d49dc90,source memory test,tsk_4a57abb949dd6,,http://neurovault.org/collections/1438/,1438,,,,,test image,,http://neurovault.org/media/images/1438/tmp3.nii.gz,910028,23251,statistic_map,False,True,,univariate-beta map,fMRI-BOLD,2016-06-08T01:06:39.767861Z,,beta-durable contrast,,,False,108.0,73.4241864598,12.7780024262,,,http://neurovault.org/media/images/1438/transform_4mm_23251.npy,8.0,106.0,,http://neurovault.org/media/images/1438/glass_brain_23251.jpg,,http://neurovault.org/images/23251/
1614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-07T16:13:40.475270Z,group,91.5731148488,,,accuracy of recognition minus accuracy of source identification,cnt_4dfa94d49dc90,source memory test,tsk_4a57abb949dd6,,http://neurovault.org/collections/1438/,1438,,,,,short-term encoding prov,,http://neurovault.org/media/images/1438/SnS-v-I2.nii.gz,913792,23253,statistic_map,False,True,,univariate-beta map,fMRI-BOLD,2016-06-08T01:08:25.617928Z,,Short-term memory encoding,,,False,108.0,73.4241864598,12.7780024262,,,http://neurovault.org/media/images/1438/transform_4mm_23253.npy,8.0,106.0,,http://neurovault.org/media/images/1438/glass_brain_23253.jpg,,http://neurovault.org/images/23253/
1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-08T14:49:15.175719Z,group,88.4183943663,,,accuracy of recognition minus accuracy of source identification,cnt_4dfa94d49dc90,source memory test,tsk_4a57abb949dd6,,http://neurovault.org/collections/1438/,1438,,,,,"source memory test- durable memories

",,http://neurovault.org/media/images/1438/MNI152.TEST.SS-v-SnS.nii.gz,852058,23256,statistic_map,False,True,,univariate-beta map,fMRI-BOLD,2016-06-08T14:49:18.095516Z,,source memory test- durable memories,,,False,108.0,74.9352170161,10.705792912,,,http://neurovault.org/media/images/1438/transform_4mm_23256.npy,8.0,108.0,,http://neurovault.org/media/images/1438/glass_brain_23256.jpg,,http://neurovault.org/images/23256/
