,contrast_text,contrast_uri,event_stamp,id,id_user
270,Accuracy on level 3 minus accuracy on level 1,,2011-06-16 17:51:54,cnt_4dfa42ba0f7c2,usr_4de5345b3b6a8
271,Overall accuracy of participant minus average accuracy,,2011-06-16 17:52:29,cnt_4dfa42dddd062,usr_4de5345b3b6a8
272,percent correct,,2015-07-13 00:15:15,cnt_55a30313da429,usr_4e42a3196fbcd
273,response time,,2015-07-13 00:15:34,cnt_55a303261a647,usr_4e42a3196fbcd
274,number correct,,2013-01-07 22:04:45,cnt_50eb467d50cab,usr_4de5345b3b6a8
275,Faces (0-back faces + 2-back faces), ,2015-03-19 22:51:04,cnt_550b52d8506ec,usr_51bc76ae9636c
276,Places (0-back places + 2-back places),,2015-03-19 22:51:24,cnt_550b52ec705da,usr_51bc76ae9636c
277,Tools (0-back tools + 2-back tools),,2015-03-19 22:51:41,cnt_550b52fd2e6fa,usr_51bc76ae9636c
278,Body (0-back body + 2-back body),,2015-03-19 22:52:01,cnt_550b53110c3a8,usr_51bc76ae9636c
279,2-back Body,,2015-04-17 18:03:43,cnt_55314aff55913,usr_51bc76ae9636c
280,2-back Face,,2015-04-17 18:03:50,cnt_55314b0643005,usr_51bc76ae9636c
281,2-back Place,,2015-04-17 18:04:02,cnt_55314b12878f7,usr_51bc76ae9636c
282,2-back Tool,,2015-04-17 18:04:14,cnt_55314b1edb310,usr_51bc76ae9636c
283,0-back Body,,2015-04-17 18:04:26,cnt_55314b2a72bee,usr_51bc76ae9636c
284,0-back Face,,2015-04-17 18:04:57,cnt_55314b49e5c9d,usr_51bc76ae9636c
285,0-back Place,,2015-04-17 18:05:10,cnt_55314b56bceed,usr_51bc76ae9636c
286,0-back Tool,,2015-04-17 18:05:18,cnt_55314b5e393d2,usr_51bc76ae9636c
287,2-back,,2015-04-17 18:05:28,cnt_55314b688f165,usr_51bc76ae9636c
288,0-back,,2015-04-17 18:05:33,cnt_55314b6d8b510,usr_51bc76ae9636c
289,2-back minus 0-back,,2015-04-17 18:05:44,cnt_55314b78d85fd,usr_51bc76ae9636c
290,Negative 2-back,,2015-04-17 18:30:43,cnt_553151539f545,usr_51bc76ae9636c
291,Negative 0-back,,2015-04-17 18:30:52,cnt_5531515c422fe,usr_51bc76ae9636c
292,0-back minus 2-back,,2015-04-17 18:31:03,cnt_5531516762fb2,usr_51bc76ae9636c
293,Body minus Average,,2015-04-17 18:31:21,cnt_5531517957741,usr_51bc76ae9636c
294,Face minus Average,,2015-04-17 18:31:32,cnt_55315184e74dd,usr_51bc76ae9636c
295,Place minus Average,,2015-04-17 18:31:43,cnt_5531518f600cf,usr_51bc76ae9636c
296,Tool minus Average,,2015-04-17 18:31:55,cnt_5531519b47d97,usr_51bc76ae9636c
297,Negative Body,,2015-04-17 18:32:16,cnt_553151b0cb13c,usr_51bc76ae9636c
298,Negative Face,,2015-04-17 18:32:26,cnt_553151ba0be1f,usr_51bc76ae9636c
299,Negative Place,,2015-04-17 18:32:35,cnt_553151c3b05f5,usr_51bc76ae9636c
300,Negative Tool,,2015-04-17 18:32:44,cnt_553151ccb63f4,usr_51bc76ae9636c
301,Average minus Body,,2015-04-17 18:33:01,cnt_553151dd37b0d,usr_51bc76ae9636c
302,Average minus Face,,2015-04-17 18:33:10,cnt_553151e627665,usr_51bc76ae9636c
303,Average minus Place,,2015-04-17 18:33:17,cnt_553151eda891e,usr_51bc76ae9636c
304,Average minus Tool,,2015-04-17 18:33:34,cnt_553151fe97771,usr_51bc76ae9636c
305,nonword repetition,,2013-10-17 18:10:05,cnt_526027fdc9141,usr_51bc76ae9636c
306,phonological memory,,2013-10-17 18:13:15,cnt_526028bb8afc0,usr_51bc76ae9636c
307,memory for digits,,2013-10-17 18:14:46,cnt_5260291679470,usr_51bc76ae9636c
308,blending words,,2013-10-17 18:14:59,cnt_5260292385acd,usr_51bc76ae9636c
309,rapid digit naming,,2013-10-17 18:16:49,cnt_52602991a559b,usr_51bc76ae9636c
310,rapid letter naming,,2013-10-17 18:17:02,cnt_5260299eb3d0f,usr_51bc76ae9636c
311,total score,,2015-07-15 18:19:51,cnt_55a6a44770b40,usr_51bc76ae9636c
312,Heat Stimulation versus Baseline,,2011-09-09 15:47:04,cnt_4e6a34f8c2f2c,usr_4e4a7f57b30e6
313,number of items correct,,2016-07-27 15:48:36,cnt_5798d7d41f82b,usr_579611e01221d
314,Baseline minus heat stimulation,,2011-08-24 16:30:48,cnt_4e552738a229c,usr_4e4a7f57b30e6
315,standard deviation from the mean score,,2011-06-17 22:49:08,cnt_4dfbd9e47c418,usr_4de5345b3b6a8
316,standard deviation from the mean score,,2011-06-20 23:46:03,cnt_4dffdbbb010e1,usr_4de5345b3b6a8
317,ANOVA of of score by disease timecourse,,2011-06-20 23:46:32,cnt_4dffdbd8c48f7,usr_4de5345b3b6a8
318,incongruent minus congruent,,2012-07-30 18:46:06,cnt_5016d66e0ecb7,usr_4f177506dde77
319,accuracy of participant minus average accuracy of controls,,2011-06-16 23:23:52,cnt_4dfa9088a6739,usr_4de5345b3b6a8
320,reaction time of participant minus average reaction time of controls,,2011-06-16 23:24:31,cnt_4dfa90af8345d,usr_4de5345b3b6a8
321,reaction time after some manipulation minus reaction time at baseline,,2011-06-16 23:24:52,cnt_4dfa90c46cf46,usr_4de5345b3b6a8
322,communication total,,2013-08-10 10:19:35,cnt_520613b7ec09c,usr_51bc76ae9636c
323,play total,,2013-08-10 10:19:46,cnt_520613c2e388b,usr_51bc76ae9636c
324,social interaction total,,2013-08-10 10:19:58,cnt_520613ce52654,usr_51bc76ae9636c
325,communication + social interaction total,,2013-08-10 10:20:31,cnt_520613efddbc2,usr_51bc76ae9636c
326,stereotyped behaviors and restricted interests Total,,2013-08-10 10:20:59,cnt_5206140b96f95,usr_51bc76ae9636c
327,pounds or kilograms of force,,2013-01-07 23:00:49,cnt_50eb53a183bb6,usr_4de5345b3b6a8
328,ANOVA of time by age group,,2011-06-20 21:21:10,cnt_4dffb9c632156,usr_4de5345b3b6a8
329,hearing threshold (the level below which the subject cannot hear tones),,2013-01-14 03:02:05,cnt_50f3752d9402b,usr_4de5345b3b6a8
330,Matching,,2015-04-17 17:57:26,cnt_553149868c670,usr_51bc76ae9636c
331,Relational Processing,,2015-04-17 17:57:43,cnt_553149979dc2e,usr_51bc76ae9636c
332,Matching - Relational Processing,,2015-04-17 17:58:08,cnt_553149b03d240,usr_51bc76ae9636c
333,Relational Processing minus Matching,,2015-04-17 17:58:20,cnt_553149bc9f9d1,usr_51bc76ae9636c
334,Negative Matching,,2015-04-17 17:58:33,cnt_553149c9ef4fd,usr_51bc76ae9636c
335,Negative Relational Processing,,2015-04-17 17:58:43,cnt_553149d39942a,usr_51bc76ae9636c
336,anxiety,,2013-09-23 15:18:22,cnt_52405bbeec6bc,usr_51bc76ae9636c
337,hostility,,2013-09-23 15:18:33,cnt_52405bc94d887,usr_51bc76ae9636c
338,depression,,2013-09-23 15:18:45,cnt_52405bd546e33,usr_51bc76ae9636c
339,somatization,,2013-09-23 15:18:59,cnt_52405be30419a,usr_51bc76ae9636c
340,interpersonal sensitivity,,2013-09-23 15:19:16,cnt_52405bf41b0f9,usr_51bc76ae9636c
341,psychosis,,2013-09-23 15:19:27,cnt_52405bff90283,usr_51bc76ae9636c
342,paranoid,,2013-09-23 15:19:39,cnt_52405c0bec117,usr_51bc76ae9636c
343,obsessive compulsive,,2013-09-23 15:19:50,cnt_52405c167b088,usr_51bc76ae9636c
344,phobia,,2013-09-23 15:20:09,cnt_52405c29582fb,usr_51bc76ae9636c
345,oppositional,,2013-10-14 20:42:23,cnt_525c572fd0e6b,usr_51bc76ae9636c
346,cognitive problems,,2013-10-14 20:42:45,cnt_525c57456e8d6,usr_51bc76ae9636c
347,hyperactivity,,2013-10-14 20:43:18,cnt_525c57664d7a7,usr_51bc76ae9636c
348,anxious,,2013-10-14 20:43:29,cnt_525c5771523cb,usr_51bc76ae9636c
349,perfectionism,,2013-10-14 20:43:43,cnt_525c577f94423,usr_51bc76ae9636c
350,psychosomatic,,2013-10-14 20:43:55,cnt_525c578b8e221,usr_51bc76ae9636c
351,social,,2013-10-14 20:44:08,cnt_525c57980c6af,usr_51bc76ae9636c
352,restlessness,,2013-10-14 20:44:33,cnt_525c57b11694a,usr_51bc76ae9636c
353,emotional,,2013-10-14 20:44:43,cnt_525c57bbddf7c,usr_51bc76ae9636c
354,impulsivity,,2013-10-14 20:45:05,cnt_525c57d12435a,usr_51bc76ae9636c
355,inattention,,2013-10-14 21:01:50,cnt_525c5bbee5aa5,usr_51bc76ae9636c
356,total score,,2013-01-14 08:22:16,cnt_50f3c03878ce3,usr_4de5345b3b6a8
357,percent correct,,2015-07-13 00:16:42,cnt_55a3036a4175b,usr_4e42a3196fbcd
358,Uncued,,2011-06-15 16:46:42,cnt_4df8e1f29b788,usr_4de5345b3b6a8
359,Congruent Cue,,2011-06-15 16:48:10,cnt_4df8e24a62cc8,usr_4de5345b3b6a8
360,Incongruent Cue,,2011-06-15 16:48:54,cnt_4df8e2760df07,usr_4de5345b3b6a8
361,incongruent response time - congruent response time,,2011-06-15 16:49:27,cnt_4df8e29765d7b,usr_4de5345b3b6a8
362,congruent response time - uncued response time,,2011-06-15 16:49:51,cnt_4df8e2af408ed,usr_4de5345b3b6a8
363,average score minus participant&#39;s score,,2011-06-20 20:15:52,cnt_4dffaa78530b6,usr_4de5345b3b6a8
364,correct,,2013-01-07 18:23:17,cnt_50eb12958b083,usr_4de5345b3b6a8
365,incorrect,,2013-01-07 18:23:25,cnt_50eb129d5a541,usr_4de5345b3b6a8
366,Switch minus No-Switch,,2011-08-15 17:59:29,cnt_4e495e81b3a05,usr_4e42a3196fbcd
367,control minus pumps average,,2015-04-24 01:40:17,cnt_55399f01df2de,usr_51bc76ae9636c
368,cash parametric,,2015-04-24 01:40:24,cnt_55399f08a4fe4,usr_51bc76ae9636c
369,control parametric minus pumps parametric,,2015-04-24 01:40:40,cnt_55399f18cab6a,usr_51bc76ae9636c
370,cash average real reaction time,,2015-04-24 01:40:58,cnt_55399f2a6bc4f,usr_51bc76ae9636c
371,control pumps average,,2015-04-24 01:41:07,cnt_55399f33ed10b,usr_51bc76ae9636c
372,control pumps average real reaction time,,2015-04-24 01:41:20,cnt_55399f4094b1b,usr_51bc76ae9636c
373,cash average,,2015-04-24 01:41:26,cnt_55399f4618e42,usr_51bc76ae9636c
374,control real reaction time minus pumps real reaction time,,2015-04-24 01:41:45,cnt_55399f597f9ea,usr_51bc76ae9636c
375,control pumps parametric,,2015-04-24 01:41:56,cnt_55399f648ae8a,usr_51bc76ae9636c
376,pumps real reaction time minus control real reaction time,,2015-04-24 01:42:12,cnt_55399f741c859,usr_51bc76ae9636c
377,pumps average,,2015-04-24 01:42:20,cnt_55399f7c60721,usr_51bc76ae9636c
378,pumps parametric,,2015-04-24 01:42:30,cnt_55399f8675b23,usr_51bc76ae9636c
379,pumps parametric minus control parametric,,2015-04-24 01:42:42,cnt_55399f92abc88,usr_51bc76ae9636c
380,explode average,,2015-04-24 01:42:50,cnt_55399f9ac9c55,usr_51bc76ae9636c
381,pumps average real reaction time,,2015-04-24 01:43:05,cnt_55399fa95aaee,usr_51bc76ae9636c
382,pumps average minus control average,,2015-04-24 01:43:15,cnt_55399fb3842fa,usr_51bc76ae9636c
383,pre-cash trials minus pre-pump trials matched for risk level,,2015-04-30 17:29:02,cnt_5542665e734fe,usr_51bc76ae9636c
384,percent correct,,2013-01-28 21:57:04,cnt_5106f430082a0,usr_4de5345b3b6a8
385,correct identifications,,2013-01-28 23:17:59,cnt_510707278e097,usr_4de5345b3b6a8
386,size of subject sentence set minus average size of sentence set of control subjects,,2011-06-10 17:08:03,cnt_4df24f7376278,usr_4de5345b3b6a8
387,commission errors (false alarms),,2012-07-18 19:31:50,cnt_50070f2604b71,usr_4f177506dde77
388,proportion of correct to incorrect responses,,2012-07-18 19:33:39,cnt_50070f9310204,usr_4f177506dde77
389,stimulus,,2011-06-01 22:39:40,cnt_4de6bfac7a994,usr_4de5345b3b6a8
390,non-stimulus,,2011-06-01 22:40:31,cnt_4de6bfdf5905a,usr_4de5345b3b6a8
391,right hand,,2011-06-01 22:41:18,cnt_4de6c00e51eda,usr_4de5345b3b6a8
392,left hand,,2011-06-01 22:41:36,cnt_4de6c02033259,usr_4de5345b3b6a8
393,Cue minus no cue: attention orienting,,2011-08-15 19:01:34,cnt_4e496d0e46a77,usr_4e42a3196fbcd
394,Spatial cue minus double cue: orienting efficiency,,2011-08-15 19:02:31,cnt_4e496d475896c,usr_4e42a3196fbcd
395,Incongruent minus congruent: Conflict / Executive network efficiency,,2011-08-15 19:03:10,cnt_4e496d6e12225,usr_4e42a3196fbcd
396,Alerting: no cue minus double cue,,2013-12-20 23:15:56,cnt_52b4cfac3a8ce,usr_51abaebb2b78f
397,Central cue minus Spatial cue: Orienting / Shifting network efficiency,,2014-01-22 10:47:18,cnt_52dfa1b677494,usr_523ef0e181acb
398,% rhythm maintainance,,2011-06-06 19:29:21,cnt_4ded2a911252c,usr_4de5345b3b6a8
399,tap speed,,2011-06-06 19:29:37,cnt_4ded2aa1ea79d,usr_4de5345b3b6a8
400,rhythm tap,,2011-06-06 19:33:57,cnt_4ded2ba5e3681,usr_4de5345b3b6a8
401,time tap,,2011-06-06 19:34:38,cnt_4ded2bceeda6b,usr_4de5345b3b6a8
402,reaction time to correct stimuli,,2011-06-03 16:46:26,cnt_4de90fe2177d0,usr_4de5345b3b6a8
403,percent correct,,2015-07-13 00:25:18,cnt_55a3056e571ca,usr_4e42a3196fbcd
404,percent correct,,2015-07-13 00:30:18,cnt_55a3069a3b9f9,usr_4e42a3196fbcd
405,response time,,2015-07-13 00:30:32,cnt_55a306a830bfc,usr_4e42a3196fbcd
406,accuracy of participant minus average accuracy of controls,,2011-06-20 21:11:42,cnt_4dffb78e1edc6,usr_4de5345b3b6a8
407,Painful versus Baseline ,,2011-09-08 15:38:20,cnt_4e68e16ce673d,usr_4e4a7f57b30e6
408,Non-Painful versus Baseline,,2011-09-08 15:38:48,cnt_4e68e188bfadc,usr_4e4a7f57b30e6
409,Painful versus Non-Painful,,2011-09-08 15:39:31,cnt_4e68e1b3598ac,usr_4e4a7f57b30e6
410,Negativity Scale,,2011-05-31 23:53:17,cnt_4de57f6d43cfd,usr_4de5345b3b6a8
411,Inconsistency Scale,,2011-05-31 23:53:33,cnt_4de57f7db9e97,usr_4de5345b3b6a8
412,why minus how,,2015-04-28 18:00:44,cnt_553fcacc72dd6,usr_51bc76ae9636c
413,belief minus photo,,2015-04-28 18:00:57,cnt_553fcad9e49ee,usr_51bc76ae9636c
414,[why minus how] minus [belief minus photo] (interaction),,2015-04-28 18:01:39,cnt_553fcb03070af,usr_51bc76ae9636c
415,why face minus how face,,2015-04-29 16:40:21,cnt_55410975ce70b,usr_51bc76ae9636c
416,why hand minus how hand,,2015-04-29 16:40:33,cnt_5541098145b5a,usr_51bc76ae9636c
417,why nonsocial minus how nonsocial,,2015-04-29 16:40:50,cnt_55410992b9c4b,usr_51bc76ae9636c
418,[why face minus how nonsocial] minus [why nonsocial minus how face],,2015-04-29 16:41:19,cnt_554109af50e85,usr_51bc76ae9636c
419,[why hand minus how nonsocial] minus [why nonsocial minus how hand],,2015-04-29 16:41:41,cnt_554109c5544c8,usr_51bc76ae9636c
420,score,,2011-06-06 18:43:20,cnt_4ded1fc8db0c2,usr_4de5345b3b6a8
421,amnesic versus control performance,,2012-08-06 18:59:53,cnt_5020142926f05,usr_4f177506dde77
422,response time for risky decks minus response time for advantageous decks,,2011-06-09 18:10:22,cnt_4df10c8ee9834,usr_4de5345b3b6a8
423,accuracy of subject minus average accuracy of controls,,2011-06-09 18:13:03,cnt_4df10d2fb170f,usr_4de5345b3b6a8
424,"""safe"" deck versus ""risky"" deck choices",,2012-08-07 23:09:54,cnt_5021a042336c1,usr_4f177506dde77
425,P cue–no cue P,,2012-08-09 20:50:36,cnt_5024229cb9cef,usr_4f177506dde77
426,no cue U–no cue N,,2012-08-09 20:51:20,cnt_502422c805b89,usr_4f177506dde77
427,go trial,,2015-04-28 18:04:46,cnt_553fcbbeaa31e,usr_51bc76ae9636c
428,stop trial,,2015-04-28 18:04:46,cnt_553fcbbeaa537,usr_51bc76ae9636c
429,stop signal reaction time,,2015-04-28 18:04:46,cnt_553fcbbeaa80f,usr_51bc76ae9636c
430,successful stop trial,,2015-04-28 18:04:46,cnt_553fcbbeb237e,usr_51bc76ae9636c
431,unsuccessful stop trial,,2015-04-28 18:04:46,cnt_553fcbbeb2507,usr_51bc76ae9636c
432,successful stop trial minus go trial,,2015-04-28 18:04:46,cnt_553fcbbeb282f,usr_51bc76ae9636c
433,successful stop trial minus failed stop trial,,2015-04-28 18:04:46,cnt_553fcbbeb291c,usr_51bc76ae9636c
434,failed stop,,2015-04-28 18:04:46,cnt_553fcbbeb2a98,usr_51bc76ae9636c
435,junk,,2015-04-28 18:04:46,cnt_553fcbbeb2c0c,usr_51bc76ae9636c
436,all,,2015-04-28 18:04:46,cnt_553fcbbeb2f5e,usr_51bc76ae9636c
437,unsuccessful minus successful,,2015-04-28 18:04:46,cnt_553fcbbeb30e2,usr_51bc76ae9636c
438,percent correct,,2015-07-13 00:11:51,cnt_55a30247227e5,usr_4e42a3196fbcd
439,response time,,2015-07-13 00:12:02,cnt_55a302526f444,usr_4e42a3196fbcd
440,total score,,2013-10-14 19:49:19,cnt_525c4abf79872,usr_51bc76ae9636c
441,expressive communication,,2013-10-30 21:35:44,cnt_52717bb0bb848,usr_51bc76ae9636c
442,receptive communication,,2013-10-30 21:40:33,cnt_52717cd1461e2,usr_51bc76ae9636c
443,daily living - personal,,2013-10-30 21:45:24,cnt_52717df4e8959,usr_51bc76ae9636c
444,written communication,,2013-10-30 21:45:40,cnt_52717e043cd2f,usr_51bc76ae9636c
445,daily living - domestic,,2013-10-30 21:46:03,cnt_52717e1b87a15,usr_51bc76ae9636c
446,daily living - community,,2013-10-30 21:48:49,cnt_52717ec122bf9,usr_51bc76ae9636c
447,maladaptive behavior,,2013-10-30 21:49:30,cnt_52717eeade9e5,usr_51bc76ae9636c
448,interpersonal relationships,,2013-10-30 21:49:51,cnt_52717eff2a75d,usr_51bc76ae9636c
449,play and leisure time,,2013-10-30 21:50:18,cnt_52717f1a9b5ee,usr_51bc76ae9636c
450,coping skills,,2013-10-30 21:50:38,cnt_52717f2e9a362,usr_51bc76ae9636c
451,gross motor,,2013-10-30 21:56:12,cnt_5271807c80df3,usr_51bc76ae9636c
452,fine motor,,2013-10-30 21:56:31,cnt_5271808f8f605,usr_51bc76ae9636c
453,JO social orient percent correct,,2013-12-02 19:34:38,cnt_529ce0ceec559,usr_51bc76ae9636c
454,JO nonsocial orient percent correct,,2013-12-02 19:35:14,cnt_529ce0f2aa03d,usr_51bc76ae9636c
455,JO joint attention percent correct,,2013-12-02 19:35:50,cnt_529ce116b5cff,usr_51bc76ae9636c
456,JO social orient percent incorrect,,2013-12-02 19:36:19,cnt_529ce133886f4,usr_51bc76ae9636c
457,JO nonsocial orient percent incorrect,,2013-12-02 19:36:41,cnt_529ce149671c4,usr_51bc76ae9636c
458,JO joint attention percent incorrect,,2013-12-02 19:37:01,cnt_529ce15d64bc7,usr_51bc76ae9636c
459,dual minus control,,2012-07-18 20:57:09,cnt_500723252de72,usr_4f177506dde77
460,dual task RT minus single task RT,,2015-07-13 00:05:40,cnt_55a300d4a2e78,usr_4e42a3196fbcd
461,percent correct,,2015-07-13 00:16:12,cnt_55a3034ca0943,usr_4e42a3196fbcd
462,expectation violation (mean expected offer minus actual offer),,2015-04-27 19:12:28,cnt_553e8a1c41262,usr_51bc76ae9636c
463,frequency of selecting the safe choice (20) minus frequency of selecting risky choices (40 and 80),,2011-06-16 17:21:58,cnt_4dfa3bb649f8a,usr_4de5345b3b6a8
464,variable – invariant,,2012-07-16 22:47:43,cnt_50049a0f821aa,usr_4f177506dde77
465,number of distractors,,2012-07-17 18:49:30,cnt_5005b3ba37b11,usr_4f177506dde77
466,go trial,,2013-05-02 05:23:47,cnt_5181f863d5591,usr_4cf5de07654c8
467,stop trial,,2013-05-02 05:23:47,cnt_5181f863d5647,usr_4cf5de07654c8
468,successful stop trial,,2013-05-02 05:23:47,cnt_5181f863d542a,usr_4cf5de07654c8
469,unsuccessful stop trial,,2013-05-02 05:23:47,cnt_5181f863d54db,usr_4cf5de07654c8
470,successful stop trial minus go trial,,2013-05-02 05:23:47,cnt_5181f863d5290,usr_4cf5de07654c8
471,stop signal reaction time,,2013-05-02 05:23:47,cnt_5181f863d5370,usr_4cf5de07654c8
472,viewing monostable image minus global mean,,2015-04-28 18:18:38,cnt_553fcefe2f38d,usr_51bc76ae9636c
473,viewing bistable image minus global mean,,2015-04-28 18:18:49,cnt_553fcf09c316c,usr_51bc76ae9636c
474,pattern seen during bistable images minus pattern seen during monostable image,,2015-04-28 18:19:00,cnt_553fcf145379e,usr_51bc76ae9636c
475,total score,,2013-10-17 18:37:46,cnt_52602e7ab102f,usr_51bc76ae9636c
476,horizontal checkerboard,,2015-04-27 18:53:50,cnt_553e85be83924,usr_51bc76ae9636c
477,vertical checkerboard,,2015-04-27 18:54:00,cnt_553e85c82f108,usr_51bc76ae9636c
478,right audio click,,2015-04-27 18:54:12,cnt_553e85d4af020,usr_51bc76ae9636c
479,left audio click,,2015-04-27 18:54:41,cnt_553e85f11747b,usr_51bc76ae9636c
480,right video click,,2015-04-27 18:54:52,cnt_553e85fc78496,usr_51bc76ae9636c
481,left video click,,2015-04-27 18:55:00,cnt_553e86042df77,usr_51bc76ae9636c
482,audio computation,,2015-04-27 18:55:08,cnt_553e860cb6e0a,usr_51bc76ae9636c
483,video computation,,2015-04-27 18:55:18,cnt_553e8616191c4,usr_51bc76ae9636c
484,video sentences,,2015-04-27 18:56:16,cnt_553e865074ad4,usr_51bc76ae9636c
485,audio sentences,,2015-04-27 18:56:29,cnt_553e865d69738,usr_51bc76ae9636c
486,left click,,2015-04-27 18:56:35,cnt_553e8663d056a,usr_51bc76ae9636c
487,right click,,2015-04-27 18:56:41,cnt_553e86698bd6b,usr_51bc76ae9636c
488,checkerboard,,2015-04-27 18:56:50,cnt_553e8672a9f1d,usr_51bc76ae9636c
489,motor,,2015-04-27 18:56:56,cnt_553e867843f97,usr_51bc76ae9636c
490,computation,,2015-04-27 18:57:04,cnt_553e86803c9a5,usr_51bc76ae9636c
491,sentences,,2015-04-27 18:57:11,cnt_553e868732f16,usr_51bc76ae9636c
492,audio,,2015-04-27 18:57:16,cnt_553e868c4a13c,usr_51bc76ae9636c
493,video,,2015-04-27 18:57:23,cnt_553e869334ef6,usr_51bc76ae9636c
494,horizontal checkerboard minus vertical checkerboard,,2015-04-27 18:57:42,cnt_553e86a6a4c76,usr_51bc76ae9636c
495,vertical checkerboard minus horizontal checkerboard,,2015-04-27 18:57:56,cnt_553e86b42d9ed,usr_51bc76ae9636c
496,left click minus right click,,2015-04-27 18:58:05,cnt_553e86bd44b55,usr_51bc76ae9636c
497,right click minus left click,,2015-04-27 18:58:14,cnt_553e86c6009b3,usr_51bc76ae9636c
498,video minus audio,,2015-04-27 18:58:24,cnt_553e86d01c026,usr_51bc76ae9636c
499,audio minus video,,2015-04-27 18:58:33,cnt_553e86d979710,usr_51bc76ae9636c
500,motor minus cognitive,,2015-04-27 18:58:44,cnt_553e86e46731e,usr_51bc76ae9636c
501,cognitive minus motor,,2015-04-27 18:58:53,cnt_553e86ed4315c,usr_51bc76ae9636c
502,audio computation minus audio sentences,,2015-04-27 18:59:07,cnt_553e86fb2bff8,usr_51bc76ae9636c
503,video computation minus video sentences,,2015-04-27 18:59:18,cnt_553e87063e84c,usr_51bc76ae9636c
504,computation minus sentences,,2015-04-27 18:59:25,cnt_553e870ddfe83,usr_51bc76ae9636c
505,video minus checkerboard,,2015-04-27 18:59:32,cnt_553e8714cbac7,usr_51bc76ae9636c
506,video sentences minus checkerboard,,2015-04-27 18:59:42,cnt_553e871eb790c,usr_51bc76ae9636c
507,audio click minus audio sentences,,2015-04-27 18:59:58,cnt_553e872e377e1,usr_51bc76ae9636c
508,video click minus video sentences,,2015-04-27 19:00:12,cnt_553e873c6106c,usr_51bc76ae9636c
509,effects of interest without time derivative,,2015-04-27 19:00:31,cnt_553e874fc762f,usr_51bc76ae9636c
510,Pain versus No Pain,,2011-09-02 17:32:33,cnt_4e611331826a0,usr_4e4a7f57b30e6
511,go-critical,,2015-04-24 01:22:29,cnt_55399ad50b4f4,usr_51bc76ae9636c
512,stop-noncritical trial,,2010-10-06 22:12:56,cnt_4cacf4680bbcd,usr_49a467bf4e0db
513,successful stop minus go,,2011-11-11 04:17:53,cnt_4ebca1f15eb7d,usr_4cf5de07654c8
514,failed stop-critical ,,2011-11-11 04:18:10,cnt_4ebca202935c6,usr_4cf5de07654c8
515,failed stop-noncritical ,,2011-11-11 04:18:41,cnt_4ebca22149619,usr_4cf5de07654c8
516,junk ,,2011-11-11 04:19:01,cnt_4ebca2351bb79,usr_4cf5de07654c8
517,go-critical minus go-noncritical,,2015-04-24 01:18:42,cnt_553999f2c69ef,usr_51bc76ae9636c
518,unsuccessful stop minus successful stop,,2015-04-24 01:18:56,cnt_55399a008d960,usr_51bc76ae9636c
519,go-noncritical,,2015-04-24 01:19:28,cnt_55399a202b4ff,usr_51bc76ae9636c
520,all,,2015-04-24 01:30:02,cnt_55399c9a3ae82,usr_51bc76ae9636c
521,successful stop-critical,,2015-04-24 01:19:59,cnt_55399a3f5e512,usr_51bc76ae9636c
522,formulating sentences subtest,,2011-06-01 23:50:18,cnt_4de6d03ae67ac,usr_4de5345b3b6a8
523,recalling sentences subtest,,2011-06-01 23:51:02,cnt_4de6d066cb97a,usr_4de5345b3b6a8
524,sentence structure subtest,,2011-06-01 23:52:53,cnt_4de6d0d5790a3,usr_4de5345b3b6a8
525,concepts and directions subtest,,2011-06-01 23:54:01,cnt_4de6d1194349d,usr_4de5345b3b6a8
526,word classes subtest,,2011-06-01 23:55:17,cnt_4de6d1650c739,usr_4de5345b3b6a8
527,word structure subtest,,2011-06-01 23:59:48,cnt_4de6d2747197f,usr_4de5345b3b6a8
528,standard deviation,,2011-06-02 00:02:10,cnt_4de6d30243eb5,usr_4de5345b3b6a8
529,semantic relationships subtest,,2011-06-02 00:07:04,cnt_4de6d42855dcd,usr_4de5345b3b6a8
530,sentence assembly subtest,,2011-06-02 00:07:57,cnt_4de6d45dd9ceb,usr_4de5345b3b6a8
531,subject groups,,2011-05-31 23:11:50,cnt_4de575b6944bf,usr_4de5345b3b6a8
532,length of longest correct sequence,,2011-06-06 21:35:09,cnt_4ded480d5aec0,usr_4de5345b3b6a8
533,Segmented blocks,,2010-02-17 14:54:29,cnt_4b7c0325a9f17,usr_49a467bf4e0db
534,Unsegmented blocks,,2010-02-17 14:54:45,cnt_4b7c03351fc78,usr_49a467bf4e0db
535,average male score minus average female score,,2011-06-10 18:38:11,cnt_4df26493887a0,usr_4de5345b3b6a8
536,areas of activation during task minus baseline,,2011-06-10 18:44:15,cnt_4df265ff04368,usr_4de5345b3b6a8
537,areas of activation during task minus baseline,,2011-06-20 18:34:17,cnt_4dff92a9d5875,usr_4de5345b3b6a8
538,standard deviation of k (discounting),,2011-06-20 18:39:16,cnt_4dff93d462d38,usr_4de5345b3b6a8
539,easy trials all,,2015-04-24 16:24:04,cnt_553a6e24c3c78,usr_51bc76ae9636c
540,easy parametric,,2015-04-24 16:24:10,cnt_553a6e2abcca9,usr_51bc76ae9636c
541,hard trials all,,2015-04-24 16:24:16,cnt_553a6e30d85a1,usr_51bc76ae9636c
542,hard parametric,,2015-04-24 16:24:28,cnt_553a6e3c583d8,usr_51bc76ae9636c
